id,image_name,image_path,ocr_text
1,1.jpg,/content/drive/MyDrive/Train_images/1.jpg,跨沙小 没看遇gay喔!
2,10.jpg,/content/drive/MyDrive/Train_images/10.jpg,突然发现男铜挺厉害的
3,100.jpg,/content/drive/MyDrive/Train_images/100.jpg,?
4,102.jpg,/content/drive/MyDrive/Train_images/102.jpg,你好我吃一点
5,103.jpg,/content/drive/MyDrive/Train_images/103.jpg,就这个 女同 爽
6,104.jpg,/content/drive/MyDrive/Train_images/104.jpg,地球上最快的束西 Non 豹 乖樱 『m9曲 夜~ 光
7,105.jpg,/content/drive/MyDrive/Train_images/105.jpg,昊男: 蕾然遑只是 遗没弑遇 我的属而已 1990 燕徜男跨女: 蕾然遽只是 遗没弑遇 人家的女属而已 2022
8,106.jpg,/content/drive/MyDrive/Train_images/106.jpg,女友: 你的舌头到底厉害 到什么程度 我: ORE
9,107.jpeg,/content/drive/MyDrive/Train_images/107.jpeg,同志l 好 9
10,108.jpg,/content/drive/MyDrive/Train_images/108.jpg,想咋滴。 0 Sxin
11,109.jpg,/content/drive/MyDrive/Train_images/109.jpg,世界上好男人都死光了 不然就是GAY! 老娘一佃人也很妇 根本不需要男人! *渣男出琨 真香
12,11.jpg,/content/drive/MyDrive/Train_images/11.jpg,当1做0 下如互攻
13,110.jpg,/content/drive/MyDrive/Train_images/110.jpg,直女喜欢上 9ay子是 宿命吗
14,111.jpg,/content/drive/MyDrive/Train_images/111.jpg,2020年都要黠束了 囤的涠滑菠-罐都没厢到
15,112.jpg,/content/drive/MyDrive/Train_images/112.jpg,老婆给我准备了什么惊喜
16,113.jpg,/content/drive/MyDrive/Train_images/113.jpg,南村群同欺我老无力
17,114.jpg,/content/drive/MyDrive/Train_images/114.jpg,戢们汞下第一妤
18,115.jpg,/content/drive/MyDrive/Train_images/115.jpg,儆0足本能 做1足心理需求
19,116.jpg,/content/drive/MyDrive/Train_images/116.jpg,0 0 0 糟糕的话无需再说
20,117.jpg,/content/drive/MyDrive/Train_images/117.jpg,"髫生 我甓得自己 不是男生 唔 告瓿我 你是不是想 富倜女孩? 是的 ,不遏所有男生都鲁 想富女孩呀 适业不表示 我是跨性别 病人 ]封是 跨性别"
21,118.jpg,/content/drive/MyDrive/Train_images/118.jpg,
22,119.jpg,/content/drive/MyDrive/Train_images/119.jpg,宝宝我来了 0
23,12.jpg,/content/drive/MyDrive/Train_images/12.jpg,你失去不过是一只手指 她失去的可是她的爱情
24,120.jpg,/content/drive/MyDrive/Train_images/120.jpg,女同性魑 男同性魃 跨性别者 女榷 黑人 迪土尼
25,121.jpg,/content/drive/MyDrive/Train_images/121.jpg,警察先生 就是他
26,122.jpg,/content/drive/MyDrive/Train_images/122.jpg,求放过
27,123.jpg,/content/drive/MyDrive/Train_images/123.jpg,别问 问就是直男 90
28,124.jpg,/content/drive/MyDrive/Train_images/124.jpg,
29,126.jpeg,/content/drive/MyDrive/Train_images/126.jpeg,对方不想跟你说话。井给 你来了一发基佬之光
30,127.jpg,/content/drive/MyDrive/Train_images/127.jpg,
31,128.jpeg,/content/drive/MyDrive/Train_images/128.jpeg,正 打击碳管雾里
32,129.jpg,/content/drive/MyDrive/Train_images/129.jpg,姐姐 ~f8
33,13.jpg,/content/drive/MyDrive/Train_images/13.jpg,你真有意思 问你在哪里发财 2 俪Te 觑是韬着屁殿?直笑
34,130.jpg,/content/drive/MyDrive/Train_images/130.jpg,好GAY蜜
35,131.jpg,/content/drive/MyDrive/Train_images/131.jpg,。1寻拿妤 别痴『
36,132.jpg,/content/drive/MyDrive/Train_images/132.jpg,讲不通的公主不听
37,133.jpg,/content/drive/MyDrive/Train_images/133.jpg,哇塞成熟大姐姐
38,134.jpg,/content/drive/MyDrive/Train_images/134.jpg,笑对人生  ^ ? 笑起来很苦的样孑
39,135.jpg,/content/drive/MyDrive/Train_images/135.jpg,我很好
40,136.png,/content/drive/MyDrive/Train_images/136.png,*富男主知道那倜小男孩* 其寰是女旯身的瞬圊 _走吧 @露琵 遣狸是男同俱桨部 不t_交友鲁
41,137.jpg,/content/drive/MyDrive/Train_images/137.jpg,需要说sorry吗
42,139.jpg,/content/drive/MyDrive/Train_images/139.jpg,66 很想知道 男铜以后 会结婚吗
43,14.jpg,/content/drive/MyDrive/Train_images/14.jpg,阴阳怪气的 先掐死再说
