image_name,fused_text
640.jpg,"- OCR_TEXT: Guaranteed Success with Strategy & Execution by Dr Vivek Bindra
- IMAGE_DESCRIPTION: A motivational speaker and leadership consultant, Dr. Vivek Bindra, is featured in a video that promises guaranteed success with his strategies and execution.
- TARGET_GROUP: The video is targeted towards individuals interested in personal and professional growth, specifically those seeking motivational speakers and leadership consultants.
- INTENT: Neutral
- EXPLANATION: The image is a promotional advertisement for a motivational speaker and leadership consultant, Dr. Vivek Bindra, and is not intended to be offensive or hateful."
220.jpeg,"- OCR_TEXT: Badi shanti lag rahi hai class me abhi ye bottle gira ke mini bhukamp laa deta hu
- IMAGE_DESCRIPTION: The image features a dog with a bottle of water next to it.
- TARGET_GROUP: neutral
- INTENT: neutral
- EXPLANATION: The image is a meme with a dog and a bottle of water, which is a neutral and humorous representation of the situation described in the text."
229.jpg,"- OCR_TEXT: I Am IRONING MAN
- IMAGE_DESCRIPTION: A sign with an image of Iron Man ironing clothes.
- TARGET_GROUP: Neutral
- INTENT: Neutral
- EXPLANATION: The image is a humorous meme comparing Iron Man to a person ironing clothes, which is a light-hearted and playful take on the character."
258.jpg,"- OCR_TEXT: Hairfall toh itna horha hai ki jaldi hi Raju ban jaunga
- IMAGE_DESCRIPTION: An animated character in a forest setting, wearing a diaper and looking distressed.
- TARGET_GROUP: Children
- INTENT: Neutral
- EXPLANATION: The image is a humorous and lighthearted depiction of a character in a forest setting, likely intended for children."
157.jpeg,"- OCR_TEXT: NEET ka paper aisa bana diya, leak hoga bhi to kisi se solve hi nahi hoga
- IMAGE_DESCRIPTION: A meme featuring a man in a yellow shirt with sunglasses, standing in front of a crowd. The text on the image reads: ""NEET ka paper aisa bana diya, leak hoga bhi to kisi se solve hi nahi hoga.""
- TARGET_GROUP: The image is likely intended for a general audience, including those who are familiar with the NEET exam and its implications.
- INTENT: Neutral
- EXPLANATION: The image is a meme that humorously addresses the concerns surrounding the NEET exam and its potential leak. The text on the image is a play on words, using the phrase ""solve hi nahi hoga"" to suggest that the exam is not solved by anyone."
447.jpg,"- OCR_TEXT: Chutki after breakup : IAS Chutki
- IMAGE_DESCRIPTION: A cartoon character with large eyes and a sari, sitting in a chair with an Indian flag in the background.
- TARGET_GROUP: neutral
- INTENT: neutral
- EXPLANATION: The image is a humorous meme comparing the character's post-breakup state to that of an IAS officer, who is known for their formal and structured approach to life."
73.jpeg,Papa dat rhe the galti se (Badmashi nhi mittar) bol diya.
87.jpg,"- OCR_TEXT: Time nhi h
- IMAGE_DESCRIPTION: A close-up of a person's wrist with a watch on it.
- TARGET_GROUP: Neutral
- INTENT: Neutral
- EXPLANATION: The image shows a wrist with a watch, which is a common accessory."
729.jpg,- OCR_TEXT: sister : are mera pyara bhai kya kar raha hai le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me : le me :
527.jpg,"- OCR_TEXT: Aaj achanak se 'hddppa sambyata' ki yaad aa gayi..
- IMAGE_DESCRIPTION: The image shows a meme with a person in a sad or distressed expression, accompanied by text in a different language. The text reads ""Aaj achanak se 'hddppa sambyata' ki yaad aa gayi.."" and includes two images: one of a statue and another of a ruins or excavation site.
- TARGET_GROUP: The image is likely intended for a general audience, as it does not contain explicit or offensive content.
- INTENT: Neutral
- EXPLANATION: The image is a meme that is likely intended for entertainment or amusement, and does not contain any harmful or offensive content."
154.jpg,"- OCR_TEXT: Anything minor happens in my life My friends:
- IMAGE_DESCRIPTION: A meme featuring an elderly man in a yellow robe, with a text overlay that reads ""Anything minor happens in my life My friends: E.L"" and a cartoon character next to it.
- TARGET_GROUP: The image is not targeted towards any specific group.
- INTENT: The intent of the image is to be humorous and light-hearted, as it humorously depicts a situation where the elderly man's friends are not aware of the minor events that have occurred in his life.
- EXPLANATION: The image is a meme that is likely intended to be funny and light-hearted, as it humorously depicts a situation where the elderly man's friends are not aware of the minor events that have occurred in his life."
68.jpg,"- OCR_TEXT: China Madarchod Ba I Lovely Sharma Bhojpuri Song 2020
- IMAGE_DESCRIPTION: A video poster featuring a man in a white shirt and a colorful background with text in Hindi and English.
- TARGET_GROUP: The target group is likely to be individuals who are interested in music and entertainment, particularly those who enjoy Bhojpuri music.
- INTENT: Neutral
- EXPLANATION: The image is a promotional poster for a music video, and there is no indication of any hateful or offensive content."
384.jpg,"- OCR_TEXT: ""KI raat PUBG khelne kyu nhi aaya tu? Battery low thi bhai. Bsdk Riya ke saath Ludo khelne ke liye battery thi...""
- IMAGE_DESCRIPTION: A meme featuring three men in a narrow alleyway, with one man in a yellow sweater and black scarf being accused of playing PUBG, and another man in a white shirt and black scarf being accused of having low battery.
- TARGET_GROUP: The image is likely intended for a general audience, including those who enjoy humor and memes.
- INTENT: The intent of the meme is to be humorous and light-hearted, with no explicit hateful or offensive content.
- EXPLANATION: The image is a humorous meme that plays on the idea of being accused of playing a game, with the caption suggesting that the accused person has low battery. The humor is intended to be light-hearted and not intended to be offensive."
431.jpg,"- OCR_TEXT: ""Bro Kohli""
- IMAGE_DESCRIPTION: ""A meme featuring a broccoli with a face, with the text 'Bro Kohli' above it.""
- TARGET_GROUP: ""neutral""
- INTENT: ""neutral""
- EXPLANATION: The image is a humorous meme that plays on the name ""Kohli"" and the appearance of broccoli, which is a vegetable. It is not intended to be offensive or hateful."
344.jpg,"- OCR_TEXT: पानी मम
- IMAGE_DESCRIPTION: The image shows a child in an orange jacket crying on the left, and on the right, a child in the same jacket is smiling while water is being poured into a glass.
- TARGET_GROUP: neutral
- INTENT: neutral
- EXPLANATION: The image is a meme that humorously depicts a child crying and then smiling after receiving water."
749.jpeg,"OCR_TEXT: छ par badi ई ki matra छी
IMAGE_DESCRIPTION: The image contains a meme featuring a dog with a neutral expression, and the text is in Hindi.
TARGET_GROUP: The image is suitable for all age groups.
INTENT: Neutral
EXPLANATION: The image is a meme with a dog and text in Hindi, and it does not contain any hateful or offensive content."
26.jpg,"- OCR_TEXT: ""Happy pride month bhaiyo""
- IMAGE_DESCRIPTION: ""A rainbow flag waving in the wind against a blue sky.""
- TARGET_GROUP: ""neutral""
- INTENT: ""neutral""
- EXPLANATION: The image is a simple representation of a rainbow flag, which is a symbol of pride and diversity. There is no indication of any hateful or offensive content in the image."
514.jpg,"OCR_TEXT: ""Light chali gayi h 11:49 PM Archivesofpratham Ghar ke pass wala Transgender Burst hua hai 11:49 PM""

IMAGE_DESCRIPTION: The image shows a screenshot of a text message conversation with a dark background and various icons.

TARGET_GROUP: The content is neutral and does not contain any hate speech or offensive language.

INTENT: Neutral

EXPLANATION: The text message is a casual conversation between two individuals discussing a situation involving a transgender person. There is no indication of any hate speech or offensive language."
216.jpg,"- OCR_TEXT: ""Cheat nahi kiya yaar, stressed thi isliye sex kiya. I still had the option to hide, par maine sach bola.""
- IMAGE_DESCRIPTION: ""A woman with a distressed expression, wearing a necklace and earrings, with text overlaid.""
- TARGET_GROUP: ""Adults""
- INTENT: Neutral
- EXPLANATION: The image is a meme with text overlaid on a photograph of a woman in distress. The text appears to be a humorous or satirical statement."
642.jpeg,"- OCR_TEXT: ""Bihari And Spanish Peoples After Knowing That Both Of Them Call Police As Policia Are bhaisahab gotra kya hai aapka?""
- IMAGE_DESCRIPTION: ""Two men in a scene from a movie, one of them is wearing a necklace with a 'U' symbol on his forehead.""
- TARGET_GROUP: ""neutral""
- INTENT: ""neutral""
- EXPLANATION: The image is a meme with a humorous tone, showing two men in a movie scene. The text is in Hindi and appears to be a dialogue from the movie."
713.jpeg,"- OCR_TEXT: THESE PEOPLE PROVED THAT
- IMAGE_DESCRIPTION: The image is a meme featuring four different celebrities, each representing different aspects of their identity.
- TARGET_GROUP: The image is not targeted towards any specific group.
- INTENT: The intent of the image is to humorously highlight the diversity and resilience of the celebrities featured.
- EXPLANATION: The image is a light-hearted meme that plays on the idea that age, weight, and appearance do not define a person."
199.jpg,"- OCR_TEXT: Kohli Flower
- IMAGE_DESCRIPTION: A meme featuring a cauliflower with a face on it, humorously representing the Indian cricket captain Virat Kohli.
- TARGET_GROUP: Neutral
- INTENT: Humorous
- EXPLANATION: The image is a humorous meme, not intended to be offensive or hateful."
669.jpeg,"OCR_TEXT: हमारे घर में सुबह Goodmorning वाला चोचला नहीं होता, बस पंखा बंद कर दिया जाता है।
IMAGE_DESCRIPTION: The image contains text in Hindi, which translates to ""Good morning, I don't have a good morning in my house, but I will lock the door.""
TARGET_GROUP: neutral
INTENT: neutral
EXPLANATION: The text is a simple statement in Hindi and does not contain any harmful or offensive content."
448.jpg,"- OCR_TEXT: KOFFEE WITH KARAN DEKHNE WALE LADKO KI DIET
- IMAGE_DESCRIPTION: A pot of colorful rice with the text ""Koffee with Karan Dekhne Wale Ladko Ki Diet"" written on it.
- TARGET_GROUP: neutral
- INTENT: neutral
- EXPLANATION: The image is a humorous and creative representation of a pot of colorful rice, which is not related to any specific group or intent."
409.jpg,"- OCR_TEXT: Transgender
- IMAGE_DESCRIPTION: A person wearing an orange jacket with a yellow background.
- TARGET_GROUP: neutral
- INTENT: neutral
- EXPLANATION: The image is a meme with a person wearing an orange jacket and the text ""Transgender"" and ""छक्का"" (which is not a recognized word in English). The image is likely intended for humorous or satirical purposes."
29.jpg,"- OCR_TEXT: ""ro matt Chutki.. main hoon na main tujhse shaadi karunga""
- IMAGE_DESCRIPTION: ""Two animated characters from a cartoon are shown in a romantic scene, while a real-life man and woman are shown in a wedding photo with text overlay.""
- TARGET_GROUP: neutral
- INTENT: neutral
- EXPLANATION: The image is a humorous comparison between a cartoon scene and a real-life scenario, with the text overlay adding a playful tone."
263.jpeg,"- OCR_TEXT: When Unknown girl message me on facebook
- IMAGE_DESCRIPTION: A meme featuring a character from a popular Indian TV show, with text in Hindi.
- TARGET_GROUP: The image is not targeted towards any specific group.
- INTENT: Neutral
- EXPLANATION: The image is a meme, not a hateful or offensive content."
680.jpg,"- OCR_TEXT: ""Chakke ko ladki boldiya Ladki ko chakka boldiya""
- IMAGE_DESCRIPTION: ""A meme showing a boxing ring with a man and a woman taking a selfie, with text in Hindi.""
- TARGET_GROUP: ""Adults""
- INTENT: Neutral
- EXPLANATION: The image is a meme with a neutral intent, showing a humorous situation in a boxing ring."
759.jpeg,"- OCR_TEXT: Jaa simran jaa jee le apni zindagi Kaise jau Babuji lockdown hai
- IMAGE_DESCRIPTION: The image contains two scenes from a Bollywood movie. The top scene shows a man giving a thumbs-up, and the bottom scene shows a woman crying. The text in the image is in Hindi and translates to ""Wait a moment, wait a moment, let's talk about your life. How can I help Babuji with the lockdown?""
- TARGET_GROUP: The image is not suitable for children due to the emotional content and the use of the term ""lockdown.""
- INTENT: Hateful
- EXPLANATION: The image contains a mix of emotional and political content, which may be inappropriate for children. The use of the term ""lockdown"" in the context of the woman's crying may be seen as offensive or inappropriate."
545.jpeg,"- OCR_TEXT: Aunty: Beta Chai loge ya Aunty: Jab tak chai ban rahi h tab tak Cold Drink hi la dijiye Bade Harami ho, beta
- IMAGE_DESCRIPTION: The image contains text in both English and Hindi, with a humorous tone.
- TARGET_GROUP: The text is not targeted towards any specific group.
- INTENT: The intent of the text is to be humorous and light-hearted.
- EXPLANATION: The text is a playful exchange between two individuals, with a light-hearted tone."
313.jpeg,"- OCR_TEXT: Emotional Black male
- IMAGE_DESCRIPTION: A man wearing an orange shirt and glasses, with a text overlay that reads ""Emotional Black male.""
- TARGET_GROUP: Neutral
- INTENT: Neutral
- EXPLANATION: The image is a neutral representation of a man wearing an orange shirt and glasses, with a text overlay that suggests a negative stereotype."
11.jpg,"- OCR_TEXT: THERE A REASON WHY INDIA TV IS INDIA TV
- IMAGE_DESCRIPTION: The image contains text in a language that is not English, which makes it difficult to understand the content. The text appears to be in a non-Latin script, possibly Indian, and it is not clear what it is saying.
- TARGET_GROUP: The image does not contain any explicit content that would require content moderation.
- INTENT: The intent of the image is unclear, as it does not provide any clear context or information. It is possible that the image is intended to be humorous or satirical, but without more information, it is difficult to determine the intent.
- EXPLANATION: The image does not contain any content that would require content moderation."
612.jpg,"- OCR_TEXT: Babur killed Ibrahim Lodi
- IMAGE_DESCRIPTION: A meme featuring two men in a conversation, with one of them pointing towards a police station.
- TARGET_GROUP: The image is not suitable for any target group.
- INTENT: Neutral
- EXPLANATION: The image is a meme and does not contain any content that would be considered hateful, offensive, or neutral."
372.jpeg,"- OCR_TEXT: ""Aftab Aftabchawan4 Me after studying for 10 mins yahan lenge ek chota sa break""
- IMAGE_DESCRIPTION: ""A meme featuring a man in a black suit with glasses, speaking and gesturing, with text above and below him.""
- TARGET_GROUP: ""Adults""
- INTENT: Neutral
- EXPLANATION: The image is a meme with a humorous tone, showing a person studying for 10 minutes and taking a short break."
778.jpg,"- OCR_TEXT: हाई स्पीड डाटा ट्रान्सफर
- IMAGE_DESCRIPTION: A group of women in traditional Indian attire are standing on a sidewalk, with one woman holding a baby. The background includes a building with a metal gate and some greenery.
- TARGET_GROUP: Neutral
- INTENT: Neutral
- EXPLANATION: The image depicts a group of women in traditional Indian attire standing on a sidewalk, with one woman holding a baby. The background includes a building with a metal gate and some greenery. The image is neutral and does not contain any hateful or offensive content."
516.jpg,"- OCR_TEXT: suhagraat hai ghuunhat utha rha hun main... Bhai update dete rehna hum online hai.
- IMAGE_DESCRIPTION: The image shows a scene from a Bollywood movie, featuring a man and a woman in traditional attire.
- TARGET_GROUP: The image is suitable for all target groups.
- INTENT: Neutral
- EXPLANATION: The image is a humorous meme from a Bollywood movie, depicting a scene with a man and a woman in traditional attire."
321.jpg,"- OCR_TEXT: Yaar Blue Film bol ke Avatar dikha di
- IMAGE_DESCRIPTION: A person sitting on the beach, wearing a maroon shirt, with the text ""Yaar Blue Film bol ke Avatar dikha di"" and ""Avatar dikha di"" written on it.
- TARGET_GROUP: neutral
- INTENT: neutral
- EXPLANATION: The image is a meme with text that appears to be a humorous or lighthearted statement."
752.jpg,"- OCR_TEXT: MAIN THEHRA RAHA ZAMEEN CHALNE LAGI ESCALATOR KEHTE HAI USE
- IMAGE_DESCRIPTION: The image is a humorous meme featuring a person and a dog, with text in both English and Hindi.
- TARGET_GROUP: The image is suitable for all age groups.
- INTENT: Neutral
- EXPLANATION: The image is a light-hearted meme that plays on the idea of a person and a dog using the same escalator, with the text in both English and Hindi."
541.jpeg,"- OCR_TEXT: Dhoka Bahut Bada Dhoka
- IMAGE_DESCRIPTION: The image shows a meme with a man in a classroom setting, raising his hands and making a gesture. The text on the image is in Hindi and appears to be a joke or a meme.
- TARGET_GROUP: The image is not targeted towards any specific group.
- INTENT: The intent of the image is to be humorous and to entertain the viewer.
- EXPLANATION: The image is a meme that is likely intended to be funny and to make people laugh."
118.jpg,"- OCR_TEXT: Eno Fruit Salt Lemon Flavour
- IMAGE_DESCRIPTION: A green packet of Eno fruit salt lemon flavor with two men sitting at a table with a sign that says ""The Viral Fever"" and ""9"".
- TARGET_GROUP: neutral
- INTENT: neutral
- EXPLANATION: The image appears to be a humorous meme comparing the quickness of Eno fruit salt lemon flavor to cake and dough, which is not accurate."
35.jpg,"- OCR_TEXT: ""Me:-( itna kaam mat kiya karo 😂 mom:-( bahu le aa ghar mein 😏 Me: (GAY)""
- IMAGE_DESCRIPTION: ""A dog sitting in a car with a caption about going home.""
- TARGET_GROUP: ""Children""
- INTENT: ""Neutral""
- EXPLANATION: The image is a humorous meme about a dog going home after a long day."
343.jpeg,"- OCR_TEXT: 3+3 = 8 kese?? kese? Galti se!! khopdi tod saale ki...
- IMAGE_DESCRIPTION: A meme featuring a scene from the movie ""Captain America: Civil War,"" with a question about the sum of 3 and 3, and a response that the answer is ""Galti se!!"" (which translates to ""It's over!!"" in English).
- TARGET_GROUP: The image is not suitable for children or individuals with cognitive disabilities.
- INTENT: The intent of the meme is to be humorous and light-hearted, but it may be inappropriate for some audiences due to its content.
- EXPLANATION: The image is a meme that plays on the phrase ""3+3 = 8 kese?? kese?"" which is a play on the phrase ""3+3 = 8 kese?? kese?"" from the movie ""Captain America: Civil War."" The meme is intended to be funny and light-hearted, but it may be inappropriate for some audiences due to its content."
795.jpeg,"#377? बच्चे कम होंगे!! #497 पता नहीं, किसके होंगे!!"
489.jpg,"Image Description:
The image features a person with dark hair, wearing a purple shirt, standing in front of a painting with a swirling, starry sky background. The painting is signed ""lucy_meme"" and has a watermark with the text ""1/4.""

Text:
The text in the image is in Hindi and reads: ""जिंदगी तो ch#d गई बाबू मोशाय.""

Intention:
The text appears to be a form of sarcasm or humor, using the term ""ch#d"" which is a slang term for ""cheating"" in Hindi. The phrase ""बाबू मोशाय"" translates to ""old man"" in English.

Explanation:
The image and text together create a humorous and possibly offensive tone. The use of the term ""ch#d"" is intended to be a play on words, suggesting that the person is old or has cheated, which is not a neutral or respectful term. The overall intent of the image is to provoke a reaction or discussion, likely intended to be humorous or sarcastic."
